PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Malki, Agne; Fiedler, Julia; Fricke, Kristina; Ballweg, Ines; Pfaffl, Michael W.; Krautwurst, Dietmar								Class I odorant receptors, TAS1R and TAS2R taste receptors, are markers for subpopulations of circulating leukocytes								JOURNAL OF LEUKOCYTE BIOLOGY				97	3			533	545		10.1189/jlb.2A0714-331RR			MAR 2015	2015										56							WOS:000350250000012		
J	Geithe, Christiane; Krautwurst, Dietmar								Chirality Matters - Enantioselective Orthologous Odorant Receptors for Related Terpenoid Structures								ACS Symposium Series				1212				161	181					2015	2015						Symposium on the Importance of Chirality to Flavor Compounds / 248th American-Chemical-Society Meeting and Exposition	AUG 10-14, 2014	Amer Chem Soc, Div Agr & Food Chem; Frey&Lau GmbH; Givaudan; Symrise AG; T Hasegawa Co Ltd; Wild Flavors	San Francisco, CA	4							WOS:000370679400012		
J	Razafindrazaka, Harilanto; Monnereau, Aurore; Razafindrazaka, Dina; Tonasso, Laure; Schiavinato, Stephanie; Rakotoarisoa, Jean-Aime; Radimilahy, Chantal; Letellier, Thierry; Pierron, Denis								Genetic Admixture and Flavor Preferences: Androstenone Sensitivity in Malagasy Populations								HUMAN BIOLOGY				87	1			59	70		10.13110/humanbiology.87.1.0059			JAN 2015	2015										4							WOS:000361915900005		
J	Yoder, Anne D.; Larsen, Peter A.								The molecular evolutionary dynamics of the vomeronasal receptor (class 1) genes in primates: a gene family on the verge of a functional breakdown								FRONTIERS IN NEUROANATOMY				8						153	10.3389/fnana.2014.00153			DEC 12 2014	2014										8							WOS:000347442400001		
J	Boeker, Peter								On 'Electronic Nose' methodology								SENSORS AND ACTUATORS B-CHEMICAL				204				2	17		10.1016/j.snb.2014.07.087			DEC 1 2014	2014										75							WOS:000343116400001		
J	Hayden, Sara; Teeling, Emma C.								The Molecular Biology of Vertebrate Olfaction								ANATOMICAL RECORD-ADVANCES IN INTEGRATIVE ANATOMY AND EVOLUTIONARY BIOLOGY				297	11			2216	2226		10.1002/ar.23031			NOV 2014	2014										7							WOS:000343871800020		
J	Logan, Darren W.								Do you smell what I smell? Genetic variation in olfactory perception								BIOCHEMICAL SOCIETY TRANSACTIONS				42				861	865		10.1042/BST20140052			AUG 2014	2014										14							WOS:000340329200022		
J	Gershoni, Moran; Pietrokovski, Shmuel								Reduced selection and accumulation of deleterious mutations in genes exclusively expressed in men								NATURE COMMUNICATIONS				5						4438	10.1038/ncomms5438			JUL 2014	2014										27							WOS:000340622900030		
J	Dunkel, Andreas; Steinhaus, Martin; Kotthoff, Matthias; Nowak, Bettina; Krautwurst, Dietmar; Schieberle, Peter; Hofmann, Thomas								Nature's Chemical Signatures in Human Olfaction: A Foodborne Perspective for Future Biotechnology								ANGEWANDTE CHEMIE-INTERNATIONAL EDITION				53	28			7124	7143		10.1002/anie.201309508			JUL 2014	2014										159							WOS:000338989500002		
J	Verbeurgt, Christophe; Wilkin, Francoise; Tarabichi, Maxime; Gregoire, Francoise; Dumont, Jacques E.; Chatelain, Pierre								Profiling of Olfactory Receptor Gene Expression in Whole Human Olfactory Mucosa								PLOS ONE				9	5					e96333	10.1371/journal.pone.0096333			MAY 6 2014	2014										49							WOS:000338029800058		
J	Ignatieva, Elena V.; Levitsky, Victor G.; Yudin, Nikolay S.; Moshkin, Mikhail P.; Kolchanov, Nikolay A.								Genetic basis of olfactory cognition: extremely high level of DNA sequence polymorphism in promoter regions of the human olfactory receptor genes revealed using the 1000 Genomes Project dataset								FRONTIERS IN PSYCHOLOGY				5						247	10.3389/fpsyg.2014.00247			MAR 24 2014	2014										19							WOS:000333243300001		
J	Hughes, Graham M.; Teeling, Emma C.; Higgins, Desmond G.								Loss of Olfactory Receptor Function in Hominin Evolution								PLOS ONE				9	1					e84714	10.1371/journal.pone.0084714			JAN 2 2014	2014										17							WOS:000329460100076		
J	Staubert, Claudia; Le Duc, Diana; Schoeneberg, Torsten								Examining the Dynamic Evolution of G Protein-Coupled Receptors								Methods in Pharmacology and Toxicology								23	43		10.1007/978-1-62703-779-2_2			2014	2014										8							WOS:000344783100003		
J		Wyatt, TD							Animals in a chemical world								PHEROMONES AND ANIMAL BEHAVIOR: CHEMICAL SIGNALS AND SIGNATURES, 2ND EDITION								1	+					2014	2014										0							WOS:000337916500001		
J	Mainland, Joel D.; Keller, Andreas; Li, Yun R.; Zhou, Ting; Trimmer, Casey; Snyder, Lindsey L.; Moberly, Andrew H.; Adipietro, Kaylin A.; Liu, Wen Ling L.; Zhuang, Hanyi; Zhan, Senmiao; Lee, Somin S.; Lin, Abigail; Matsunami, Hiroaki								The missense of smell: functional variability in the human odorant receptor repertoire								NATURE NEUROSCIENCE				17	1			114	120		10.1038/nn.3598			JAN 2014	2014										124							WOS:000329080000021		
J	Stevenson, Richard J.; Attuquayefio, Tuki								Human olfactory consciousness and cognition: its unusual features may not result from unusual functions but from limited neocortical processing resources								FRONTIERS IN PSYCHOLOGY				4						819	10.3389/fpsyg.2013.00819			NOV 1 2013	2013										15							WOS:000331577200001		
J	Jaeger, Sara R.; McRae, Jeremy F.; Bava, Christina M.; Beresford, Michelle K.; Hunter, Denise; Jia, Yilin; Chheang, Sok Leang; Jin, David; Peng, Mei; Gamble, Joanna C.; Atkinson, Kelly R.; Axten, Lauren G.; Paisley, Amy G.; Tooman, Leah; Pineau, Benedicte; Rouse, Simon A.; Newcomb, Richard D.								A Mendelian Trait for Olfactory Sensitivity Affects Odor Experience and Food Selection								CURRENT BIOLOGY				23	16			1601	1605		10.1016/j.cub.2013.07.030			AUG 19 2013	2013										68							WOS:000323401100028		
J	McRae, Jeremy F.; Jaeger, Sara R.; Bava, Christina M.; Beresford, Michelle K.; Hunter, Denise; Jia, Yilin; Chheang, Sok Leang; Jin, David; Peng, Mei; Gamble, Joanna C.; Atkinson, Kelly R.; Axten, Lauren G.; Paisley, Amy G.; Williams, Liam; Tooman, Leah; Pineau, Benedicte; Rouse, Simon A.; Newcomb, Richard D.								Identification of Regions Associated with Variation in Sensitivity to Food-Related Odors in the Human Genome								CURRENT BIOLOGY				23	16			1596	1600		10.1016/j.cub.2013.07.031			AUG 19 2013	2013										44							WOS:000323401100027		
J	Veerappa, Avinash M.; Vishweswaraiah, Sangeetha; Lingaiah, Kusuma; Murthy, Megha; Manjegowda, Dinesh S.; Nayaka, Radhika; Ramachandra, Nallur B.								Unravelling the Complexity of Human Olfactory Receptor Repertoire by Copy Number Analysis across Population Using High Resolution Arrays								PLOS ONE				8	7					e66843	10.1371/journal.pone.0066843			JUL 3 2013	2013										9							WOS:000321733000054		
J	Olender, Tsviya; Safran, Marilyn; Edgar, Ron; Stelzer, Gil; Nativ, Noam; Rosen, Naomi; Shtrichman, Ronit; Mazor, Yaron; West, Michael D.; Keydar, Ifat; Rappaport, Noa; Belinky, Frida; Warshawsky, David; Lancet, Doron								An Overview of Synergistic Data Tools for Biological Scrutiny								ISRAEL JOURNAL OF CHEMISTRY				53	3-4			185	198		10.1002/ijch.201200094			APR 2013	2013										3							WOS:000317859800009		
J	Finlay, Graeme	Finlay, G							Human Evolution Genes, Genealogies and Phylogenies Preface								HUMAN EVOLUTION: GENES, GENEALOGIES AND PHYLOGENIES								IX	+					2013	2013										0							WOS:000325967600001		
J	Keller, Andreas								Different noses for different mice and men								BMC BIOLOGY				10						75	10.1186/1741-7007-10-75			AUG 21 2012	2012										6							WOS:000307761800001		
