PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Fernandez-de-Manuel, Laura; Diaz-Diaz, Covadonga; Jimenez-Carretero, Daniel; Torres, Miguel; Montoya, Maria C.								ESC-Track: A computer workflow for 4-D segmentation, tracking, lineage tracing and dynamic context analysis of ESCs								BIOTECHNIQUES				62	5			215	222		10.2144/000114545			MAY 2017	2017										3							WOS:000401734100004		
J	Jung, L. A.; Gebhardt, A.; Koelmel, W.; Ade, C. P.; Walz, S.; Kuper, J.; von Eyss, B.; Letschert, S.; Redel, C.; d'Artista, L.; Biankin, A.; Zender, L.; Sauer, M.; Wolf, E.; Evan, G.; Kisker, C.; Eilers, M.								OmoMYC blunts promoter invasion by oncogenic MYC to inhibit gene expression characteristic of MYC-dependent tumors								ONCOGENE				36	14			1911	1924		10.1038/onc.2016.354			APR 6 2017	2017										17							WOS:000398898500003		
J	Hutter, Sonja; Bolin, Sara; Weishaupt, Holger; Swartling, Fredrik J.								Modeling and Targeting MYC Genes in Childhood Brain Tumors								GENES				8	4					107	10.3390/genes8040107			APR 2017	2017										9							WOS:000404391700002		
J	Casey, Stephanie C.; Baylot, Virginie; Felsher, Dean W.								MYC: Master Regulator of Immune Privilege								TRENDS IN IMMUNOLOGY				38	4			298	305		10.1016/j.it.2017.01.002			APR 2017	2017										16							WOS:000398184700008		
J	Ikeda, Megumi; Toyoshima, Fumiko								Dormant Pluripotent Cells Emerge during Neural Differentiation of Embryonic Stem Cells in a FoxO3-Dependent Manner								MOLECULAR AND CELLULAR BIOLOGY				37	5					UNSP e00417-16	10.1128/MCB.00417-16			MAR 2017	2017										2							WOS:000395652200005		
J	De Jaime-Soguero, Anchel; Aulicino, Francesco; Ertaylan, Gokhan; Griego, Anna; Cerrato, Aniello; Tallam, Aravind; del Sol, Antonio; Cosma, Maria Pia; Lluis, Frederic								Wnt/Tcf1 pathway restricts embryonic stem cell cycle through activation of the Ink4/Arf locus								PLOS GENETICS				13	3					e1006682	10.1371/journal.pgen.1006682			MAR 2017	2017										11							WOS:000398043000018		
J	Mathieu, Julie; Ruohola-Baker, Hannele								Metabolic remodeling during the loss and acquisition of pluripotency								DEVELOPMENT				144	4			541	551		10.1242/dev.128389			FEB 15 2017	2017										34							WOS:000394381100002		
J	Percharde, Michelle; Bulut-Karslioglu, Aydan; Ramalho-Santos, Miguel								Hypertranscription in Development, Stem Cells, and Regeneration								DEVELOPMENTAL CELL				40	1			9	21		10.1016/j.devcel.2016.11.010			JAN 9 2017	2017										11							WOS:000391900400005		
J	Correia, Marcelo; Perestrelo, Tania; Rodrigues, Ana S.; Ribeiro, Marcelo F.; Pereira, Sandro L.; Sousa, Maria I.; Ramalho-Santos, Joao								Sirtuins in metabolism, sternness and differentiation								BIOCHIMICA ET BIOPHYSICA ACTA-GENERAL SUBJECTS				1861	1			3444	3455		10.1016/j.bbagen.2016.09.008			JAN 2017	2017										22							WOS:000390736300049		
J	Sosa, Maria Soledad; Bernstein, Emily; Aguirre-Ghiso, Julio A.								Epigenetic Regulation of Cancer Dormancy as a Plasticity Mechanism for Metastasis Initiation								Cancer Drug Discovery and Development								1	16		10.1007/978-3-319-59242-8_1			2017	2017										2							WOS:000431342400002		
J	Stefan, Eduard; Bister, Klaus								MYC and RAF: Key Effectors in Cellular Signaling and Major Drivers in Human Cancer								Current Topics in Microbiology and Immunology				407				117	151		10.1007/82_2017_4			2017	2017										5							WOS:000409347300007		
J	Nabavi, Noushin; Ettinger, Susan L.; Crea, Francesco; Wang, Yuzhuo; Collins, Colin C.								Biological and Clinical Evidence for Metabolic Dormancy in Solid Tumors Post Therapy								Cancer Drug Discovery and Development								17	29		10.1007/978-3-319-59242-8_2			2017	2017										1							WOS:000431342400003		
J	Dumbovic, Gabrijela; Biayna, Josep; Font, Berta; Buschbeck, Marcus; Forcales, Sonia-V.								Barcelona conference on epigenetics and cancer 2016-beyond cancer genomes								EPIGENETICS				12	3			238	245		10.1080/15592294.2017.1281503			2017	2017										1							WOS:000399567000007		
J	Ware, Carol B.								Concise Review: Lessons from Naive Human Pluripotent Cells								STEM CELLS				35	1			35	41		10.1002/stem.2507			JAN 2017	2017										24							WOS:000391966700006		
J	Fagnocchi, Luca; Zippo, Alessio								Multiple Roles of MYC in Integrating Regulato Networks of Pluripotent Stem Cells								FRONTIERS IN CELL AND DEVELOPMENTAL BIOLOGY				5						UNSP 7				2017	2017										13							WOS:000455238900007		
J	Godwin, Simon; Ward, Daniel; Pedone, Elisa; Homer, Martin; Fletcher, Alexander G.; Marucci, Lucia								An extended model for culture-dependent heterogenous gene expression and proliferation dynamics in mouse embryonic stem cells								NPJ SYSTEMS BIOLOGY AND APPLICATIONS				3						UNSP 19	10.1038/s41540-017-0020-5			2017	2017										9							WOS:000459648000022		
J	Kanatsu-Shinohara, Mito; Tanaka, Takashi; Ogonuki, Narumi; Ogura, Atsuo; Morimoto, Hiroko; Cheng, Pei Feng; Eisenman, Robert N.; Trumpp, Andreas; Shinohara, Takashi								Myc/Mycn-mediated glycolysis enhances mouse spermatogonial stem cell self-renewal								GENES & DEVELOPMENT				30	23			2637	2648		10.1101/gad.287045.116			DEC 1 2016	2016										18							WOS:000391518200007		
J	Bulut-Karslioglu, Aydan; Biechele, Steffen; Jin, Hu; Macrae, Trisha A.; Hejna, Miroslav; Gertsenstein, Marina; Song, Jun S.; Ramalho-Santos, Miguel								Inhibition of mTOR induces a paused pluripotent state								NATURE				540	7631			119	+		10.1038/nature20578			DEC 1 2016	2016										47							WOS:000388916600060		
J	Soufi, Abdenour; Dalton, Stephen								Cycling through developmental decisions: how cell cycle dynamics control pluripotency, differentiation and reprogramming								DEVELOPMENT				143	23			4301	4311		10.1242/dev.142075			DEC 1 2016	2016										36							WOS:000393454100003		
J	King, Bryan; Boccalatte, Francesco; Moran-Crusio, Kelly; Wolf, Elmar; Wang, Jingjing; Kayembe, Clarisse; Lazaris, Charalampos; Yu, Xiaofeng; Aranda-Orgilles, Beatriz; Lasorella, Anna; Aifantis, Iannis								The ubiquitin ligase Huwe1 regulates the maintenance and lymphoid commitment of hematopoietic stem cells								NATURE IMMUNOLOGY				17	11			1312	1321		10.1038/ni.3559			NOV 2016	2016										20							WOS:000386193200011		
J	Bigas, Anna; Waskow, Claudia								Blood stem cells: from beginning to end								DEVELOPMENT				143	19			3429	3433		10.1242/dev.142828			OCT 1 2016	2016										1							WOS:000393451800001		
J	Heemskerk, Idse; Warmflash, Aryeh								Pluripotent Stem Cells as a Model for Embryonic Patterning: From Signaling Dynamics to Spatial Organization in a Dish								DEVELOPMENTAL DYNAMICS				245	10			976	990		10.1002/DVDY.24432			OCT 2016	2016										8							WOS:000384752700001		
J	Wu, Jun; Ocampo, Alejandro; Belmonte, Juan Carlos Izpisua								Cellular Metabolism and Induced Pluripotency								CELL				166	6			1371	1385		10.1016/j.cell.2016.08.008			SEP 8 2016	2016										41							WOS:000386339900011		
J	Nakagawa, Masato; Karagiannis, Peter; Yamanaka, Shinya								When Myc's asleep, embryonic stem cells are dormant								EMBO JOURNAL				35	8			801	802		10.15252/embj.201694095			APR 15 2016	2016										0							WOS:000374846600004		
