PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Bhardwaj, Vivek; Semplicio, Giuseppe; Erdogdu, Niyazi Umut; Manke, Thomas; Akhtar, Asifa								MAPCap allows high-resolution detection and differential expression analysis of transcription start sites								NATURE COMMUNICATIONS				10						3219	10.1038/s41467-019-11115-x			JUL 30 2019	2019										0							WOS:000477860000001		
J	MacDonald, Clinton C.								Tissue-specific mechanisms of alternative polyadenylation: Testis, brain, and beyond (2018 update)								WILEY INTERDISCIPLINARY REVIEWS-RNA				10	4					e1526	10.1002/wrna.1526			JUL 2019	2019										2							WOS:000471696300006		
J	Korthauer, Keegan; Kimes, Patrick K.; Duvallet, Claire; Reyes, Alejandro; Subramanian, Ayshwarya; Teng, Mingxiang; Shukla, Chinmay; Alm, Eric J.; Hicks, Stephanie C.								A practical guide to methods controlling false discoveries in computational biology								GENOME BIOLOGY				20						118	10.1186/s13059-019-1716-1			JUN 4 2019	2019										4							WOS:000470326700001		
J	Klein, Jason C.; Keith, Aidan; Rice, Sarah J.; Shepherd, Colin; Agarwal, Vikram; Loughlin, John; Shendure, Jay								Functional testing of thousands of osteoarthritis-associated variants for regulatory activity								NATURE COMMUNICATIONS				10						2434	10.1038/s41467-019-10439-y			JUN 4 2019	2019										2							WOS:000470082000001		
J	Zhao, Shanrong								Alternative splicing, RNA-seq and drug discovery								DRUG DISCOVERY TODAY				24	6			1258	1267		10.1016/j.drudis.2019.03.030			JUN 2019	2019										5							WOS:000474328800006		
J	Haney, Robert A.; Matte, Taylor; Forsyth, FitzAnthony S.; Garb, Jessica E.								Alternative Transcription at Venom Genes and Its Role as a Complementary Mechanism for the Generation of Venom Complexity in the Common House Spider								FRONTIERS IN ECOLOGY AND EVOLUTION				7						85	10.3389/fevo.2019.00085			APR 24 2019	2019										1							WOS:000467427400001		
J	Shiau, Cheng-Kai; Huang, Jia-Hsin; Tsai, Huai-Kuang								CATANA: a tool for generating comprehensive annotations of alternative transcript events								BIOINFORMATICS				35	8			1414	1415		10.1093/bioinformatics/bty795			APR 15 2019	2019										0							WOS:000473691900020		
J	Kannan, Kavya; Shook, Molly; Li, Yang; Robinson, Gene E.; Ma, Jian								Comparative Analysis of Brain and Fat Body Gene Splicing Patterns in the Honey Bee, Apis mellifera								G3-GENES GENOMES GENETICS				9	4			1055	1063		10.1534/g3.118.200857			APR 2019	2019										0							WOS:000463929500009		
J	Naro, Chiara; Pellegrini, Livia; Jolly, Ariane; Farini, Donatella; Cesari, Eleonora; Bielli, Pamela; de la Grange, Pierre; Sette, Claudio								Functional Interaction between U1snRNP and Sam68 Insures Proper 3 ' End Pre-mRNA Processing during Germ Cell Differentiation								CELL REPORTS				26	11			2929	+		10.1016/j.celrep.2019.02.058			MAR 12 2019	2019										3							WOS:000460914700008		
J	Campla, Christie K.; Mast, Hannah; Dong, Lijin; Lei, Jingqi; Halford, Stephanie; Sekaran, Sumathi; Swaroop, Anand								Targeted deletion of an NRL- and CRX-regulated alternative promoter specifically silences FERM and PDZ domain containing 1 (Frmpd1) in rod photoreceptors								HUMAN MOLECULAR GENETICS				28	5			804	817		10.1093/hmg/ddy388			MAR 1 2019	2019										0							WOS:000463241600008		
J	Bhattarai, Sunil; Aly, Ahmed; Garcia, Kristy; Ruiz, Diandra; Pontarelli, Fabrizio; Dharap, Ashutosh								Deep Sequencing Reveals Uncharted Isoform Heterogeneity of the Protein-Coding Transcriptome in Cerebral Ischemia								MOLECULAR NEUROBIOLOGY				56	2			1035	1043		10.1007/s12035-018-1147-0			FEB 2019	2019										2							WOS:000460470300019		
J	Soneson, Charlotte; Love, Michael I.; Patro, Rob; Hussain, Shobbir; Malhotra, Dheeraj; Robinson, Mark D.								A junction coverage compatibility score to quantify the reliability of transcript abundance estimates and annotation catalogs								LIFE SCIENCE ALLIANCE				2	1					e201800175	10.26508/lsa.201800175			FEB 2019	2019										5							WOS:000457337300009		
J	Alasoo, Kaur; Rodrigues, Julia; Danesh, John; Freitag, Daniel F.; Paul, Dirk S.; Gaffney, Daniel J.								Genetic effects on promoter usage are highly context-specific and contribute to complex traits								ELIFE				8						e41673	10.7554/eLife.41673			JAN 8 2019	2019										2							WOS:000456973300001		
J	Zhao, Jing; Qin, Bo; Nikolay, Rainer; Spahn, Christian M. T.; Zhang, Gong								Translatomics: The Global View of Translation								INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES				20	1					212	10.3390/ijms20010212			JAN 1 2019	2019										2							WOS:000459747700212		
J	Grozdanov, Petar N.; Masoumzadeh, Elahe; Latham, Michael P.; MacDonald, Clinton C.								The structural basis of CstF-77 modulation of cleavage and polyadenylation through stimulation of CstF-64 activity								NUCLEIC ACIDS RESEARCH				46	22			12022	12039		10.1093/nar/gky862			DEC 14 2018	2018										1							WOS:000456714000033		
J	Caceres, Alejandro; Gonzalez, Juan R.								When pitch adds to volume: coregulation of transcript diversity predicts gene function								BMC GENOMICS				19						926	10.1186/s12864-018-5263-z			DEC 13 2018	2018										0							WOS:000453236900001		
J	Andreassi, Catia; Crerar, Hamish; Riccio, Antonella								Post-transcriptional Processing of mRNA in Neurons: The Vestiges of the RNA World Drive Transcriptome Diversity								FRONTIERS IN MOLECULAR NEUROSCIENCE				11						304	10.3389/fnmol.2018.00304			AUG 28 2018	2018										2							WOS:000442958600001		
J	Zhu, Fu-Yuan; Chen, Mo-Xian; Ye, Neng-Hui; Qiao, Wang-Min; Gao, Bei; Law, Wai-Ki; Tian, Yuan; Zhang, Dong; Zhang, Di; Liu, Tie-Yuan; Hu, Qi-Juan; Cao, Yun-Ying; Su, Ze-Zhuo; Zhang, Jianhua; Liu, Ying-Gao								Comparative performance of the BGISEQ-500 and Illumina HiSeq4000 sequencing platforms for transcriptome analysis in plants								PLANT METHODS				14							10.1186/s13007-018-0337-0			AUG 13 2018	2018										11							WOS:000441376000001		
J	Figueiredo Cardoso, Taina; Quintanilla, Raquel; Castello, Anna; Gonzalez-Prendes, Rayner; Amills, Marcel; Canovas, Angela								Differential expression of mRNA isoforms in the skeletal muscle of pigs with distinct growth and fatness profiles								BMC GENOMICS				19						145	10.1186/s12864-018-4515-2			FEB 14 2018	2018										6							WOS:000425518400002		
